t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
0.000,0,0,0.0,,
4.150,245,825,7391.1,0.739,0.153
6.150,201,663,6338.1,1.000,0.001
8.150,221,678,6246.1,0.973,0.042
10.150,184,608,5659.1,0.978,0.054
12.150,222,801,5985.3,0.973,0.040
14.150,270,781,5870.1,0.881,0.065
16.152,191,434,3768.3,0.895,0.066
18.152,146,285,1396.5,0.945,0.067
20.152,156,217,531.2,0.936,0.082
22.152,296,185,316.0,0.875,0.122
24.152,237,224,359.3,0.882,0.080
26.152,230,245,447.4,0.935,0.066
28.152,203,197,452.1,0.941,0.039
30.152,162,217,582.9,0.975,0.012
32.152,186,480,1995.0,0.962,0.018
34.152,202,638,5681.6,0.946,0.022
36.152,182,603,9034.1,0.962,0.027
38.152,173,704,10180.4,0.988,0.032
40.152,207,764,10877.3,0.971,0.042
42.152,147,663,10999.0,0.959,0.045
44.152,147,620,12760.1,0.959,0.042
46.152,110,510,10400.8,0.973,0.056
48.152,123,440,6436.6,0.984,0.042
50.152,80,278,4580.5,0.950,0.035
52.152,50,214,4973.5,1.000,0.055
54.152,87,352,5591.1,0.966,0.055
