t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
1.908,1.0635,0.1184,-1.0145,-0.1126,2.8512,0.2082
1.930,1.0821,0.1224,-1.0243,-0.1144,2.8669,0.2110
1.952,1.0909,0.1243,-1.0341,-0.1161,2.8837,0.2140
1.974,1.0987,0.1260,-1.0383,-0.1178,2.8837,0.2140
1.994,1.1143,0.1295,-1.0479,-0.1195,2.8944,0.2169
2.016,1.1230,0.1315,-1.0575,-0.1213,2.8944,0.2169
2.038,1.1317,0.1335,-1.0671,-0.1231,2.9097,0.2198
2.058,1.1405,0.1355,-1.0766,-0.1249,2.9262,0.2229
2.080,1.1492,0.1376,-1.0921,-0.1268,2.9262,0.2229
2.102,1.1637,0.1411,-1.1017,-0.1287,2.9435,0.2252
2.124,1.1714,0.1430,-1.1113,-0.1306,2.9588,0.2282
2.146,1.1878,0.1470,-1.1209,-0.1326,2.9588,0.2282
2.168,1.1955,0.1489,-1.1304,-0.1345,2.9751,0.2316
2.190,1.2032,0.1508,-1.1441,-0.1377,2.9907,0.2351
2.212,1.2119,0.1530,-1.1536,-0.1397,2.9907,0.2351
2.234,1.2301,0.1576,-1.1631,-0.1416,3.0059,0.2383
2.256,1.2377,0.1596,-1.1726,-0.1437,3.0221,0.2417
2.276,1.2453,0.1616,-1.1834,-0.1508,3.0221,0.2417
2.298,1.2539,0.1639,-1.1929,-0.1530,3.0396,0.2505
2.320,1.2690,0.1680,-1.2071,-0.1564,3.0547,0.2541
2.340,1.2766,0.1701,-1.2165,-0.1586,3.0547,0.2541
2.362,1.2850,0.1724,-1.2259,-0.1609,3.0707,0.2578
2.384,1.2935,0.1748,-1.2333,-0.1718,3.0707,0.2578
2.406,1.3095,0.1793,-1.2427,-0.1743,3.0846,0.2706
2.428,1.3180,0.1817,-1.2521,-0.1768,3.0996,0.2747
2.450,1.3265,0.1841,-1.2662,-0.1806,3.0996,0.2747
2.472,1.3425,0.1888,-1.2752,-0.1827,3.1157,0.2788
2.494,1.3500,0.1910,-1.2843,-0.1853,3.1311,0.2828
2.516,1.3594,0.1938,-1.2935,-0.1878,3.1311,0.2828
2.538,1.3668,0.1960,-1.3026,-0.1904,3.1457,0.2869
2.558,1.3827,0.2008,-1.3117,-0.1930,3.1611,0.2914
2.580,1.3892,0.2028,-1.3260,-0.1966,3.1611,0.2914
2.602,1.3976,0.2054,-1.3351,-0.1993,3.1772,0.2956
2.624,1.4059,0.2080,-1.3442,-0.2020,3.1918,0.2999
2.646,1.4217,0.2129,-1.3533,-0.2048,3.1918,0.2999
2.666,1.4300,0.2156,-1.3624,-0.2075,3.2072,0.3046
2.688,1.4375,0.2179,-1.3744,-0.2105,3.2257,0.3096
2.710,1.4532,0.2230,-1.3882,-0.2148,3.2257,0.3096
2.730,1.4615,0.2257,-1.3974,-0.2176,3.2404,0.3142
2.752,1.4698,0.2284,-1.4066,-0.2204,3.2559,0.3191
2.774,1.4772,0.2309,-1.4198,-0.2266,3.2559,0.3191
2.794,1.4846,0.2333,-1.4291,-0.2296,3.2757,0.3274
2.816,1.5003,0.2385,-1.4385,-0.2326,3.2757,0.3274
2.838,1.5086,0.2413,-1.4525,-0.2371,3.2906,0.3323
2.858,1.5160,0.2438,-1.4571,-0.2386,3.3063,0.3374
2.880,1.5243,0.2466,-1.4704,-0.2490,3.3063,0.3374
2.902,1.5400,0.2519,-1.4799,-0.2520,3.3215,0.3486
2.922,1.5483,0.2547,-1.4893,-0.2550,3.3366,0.3535
2.944,1.5566,0.2576,-1.4988,-0.2580,3.3366,0.3535
2.966,1.5714,0.2627,-1.5083,-0.2610,3.3527,0.3584
2.986,1.5778,0.2650,-1.5178,-0.2615,3.3688,0.3611
3.008,1.5862,0.2679,-1.5273,-0.2645,3.3688,0.3611
3.030,1.5945,0.2708,-1.5417,-0.2690,3.3840,0.3660
3.050,1.6093,0.2760,-1.5513,-0.2721,3.3840,0.3660
3.072,1.6177,0.2789,-1.5626,-0.2777,3.4004,0.3712
3.094,1.6252,0.2815,-1.5723,-0.2808,3.4185,0.3791
3.114,1.6336,0.2844,-1.5821,-0.2840,3.4185,0.3791
3.136,1.6504,0.2904,-1.5918,-0.2872,3.4340,0.3842
3.158,1.6588,0.2933,-1.6065,-0.2921,3.4506,0.3897
3.178,1.6662,0.2960,-1.6223,-0.2973,3.4506,0.3897
3.200,1.6747,0.2990,-1.6375,-0.3024,3.4785,0.3991
3.222,1.6906,0.3047,-1.6476,-0.3058,3.4947,0.4046
3.242,1.6980,0.3075,-1.6578,-0.3093,3.4947,0.4046
3.264,1.7055,0.3102,-1.6671,-0.3149,3.5116,0.4105
3.286,1.7186,0.3150,-1.6773,-0.3185,3.5282,0.4188
3.306,1.7270,0.3180,-1.6875,-0.3220,3.5282,0.4188
3.328,1.7364,0.3214,-1.6978,-0.3256,3.5445,0.4246
3.350,1.7448,0.3244,-1.7131,-0.3309,3.5445,0.4246
3.370,1.7532,0.3274,-1.7197,-0.3371,3.5619,0.4306
3.392,1.7689,0.3333,-1.7298,-0.3409,3.5754,0.4395
3.414,1.7771,0.3365,-1.7399,-0.3447,3.5754,0.4395
3.434,1.7845,0.3393,-1.7499,-0.3486,3.5915,0.4457
3.456,1.7918,0.3421,-1.7600,-0.3525,3.6087,0.4523
3.478,1.8064,0.3479,-1.7750,-0.3631,3.6087,0.4523
3.498,1.8136,0.3508,-1.7800,-0.3652,3.6256,0.4639
3.520,1.8218,0.3541,-1.7951,-0.3715,3.6417,0.4707
3.542,1.8381,0.3608,-1.8051,-0.3758,3.6417,0.4707
3.562,1.8462,0.3642,-1.8152,-0.3802,3.6587,0.4780
3.584,1.8525,0.3669,-1.8255,-0.3835,3.6587,0.4780
3.606,1.8597,0.3699,-1.8356,-0.3879,3.6760,0.4844
3.626,1.8687,0.3737,-1.8457,-0.3924,3.6921,0.4916
3.648,1.8840,0.3803,-1.8558,-0.3968,3.6921,0.4916
3.670,1.8921,0.3838,-1.8673,-0.4011,3.7093,0.4993
3.690,1.8993,0.3869,-1.8774,-0.4056,3.7228,0.5045
3.712,1.9074,0.3904,-1.8876,-0.4101,3.7228,0.5045
3.734,1.9228,0.3970,-1.8977,-0.4146,3.7389,0.5117
3.754,1.9309,0.4006,-1.9079,-0.4192,3.7563,0.5197
3.776,1.9391,0.4041,-1.9127,-0.4201,3.7563,0.5197
3.798,1.9536,0.4103,-1.9228,-0.4245,3.7680,0.5236
3.818,1.9618,0.4138,-1.9381,-0.4312,3.7842,0.5308
3.840,1.9699,0.4172,-1.9483,-0.4356,3.7842,0.5308
3.862,1.9772,0.4202,-1.9585,-0.4400,3.8017,0.5385
3.882,1.9917,0.4263,-1.9584,-0.4436,3.8017,0.5385
3.904,1.9998,0.4297,-1.9684,-0.4480,3.8084,0.5452
3.926,2.0080,0.4331,-1.9784,-0.4525,3.8243,0.5523
3.946,2.0161,0.4364,-1.9884,-0.4569,3.8243,0.5523
3.968,2.0234,0.4395,-1.9984,-0.4613,3.8417,0.5600
3.990,2.0388,0.4459,-2.0099,-0.4667,3.8550,0.5662
4.010,2.0460,0.4489,-2.0198,-0.4712,3.8550,0.5662
4.032,2.0541,0.4523,-2.0298,-0.4757,3.8708,0.5735
4.054,2.0695,0.4589,-2.0398,-0.4803,3.8880,0.5813
4.074,2.0767,0.4620,-2.0524,-0.4838,3.8880,0.5813
4.096,2.0839,0.4652,-2.0624,-0.4884,3.9075,0.5881
4.118,2.0920,0.4688,-2.0774,-0.4955,3.9235,0.5957
4.138,2.1001,0.4724,-2.0824,-0.4979,3.9235,0.5957
4.160,2.1162,0.4798,-2.0974,-0.5052,3.9404,0.6040
4.182,2.1233,0.4831,-2.0964,-0.5061,3.9404,0.6040
4.202,2.1314,0.4868,-2.1061,-0.5110,3.9462,0.6082
4.224,2.1394,0.4906,-2.1159,-0.5159,3.9617,0.6160
4.246,2.1536,0.4974,-2.1256,-0.5208,3.9617,0.6160
4.268,2.1615,0.5013,-2.1318,-0.5241,3.9785,0.6247
4.288,2.1686,0.5048,-2.1414,-0.5291,3.9912,0.6314
4.310,2.1756,0.5082,-2.1557,-0.5366,3.9912,0.6314
4.332,2.1922,0.5166,-2.1652,-0.5417,4.0064,0.6396
4.352,2.2000,0.5206,-2.1748,-0.5469,4.0227,0.6485
4.374,2.2070,0.5242,-2.1636,-0.5389,4.0227,0.6485
4.396,2.2139,0.5278,-2.1727,-0.5437,4.0176,0.6436
4.416,2.2295,0.5360,-2.1817,-0.5486,4.0176,0.6436
4.438,2.2373,0.5401,-2.1908,-0.5536,4.0319,0.6514
4.460,2.2443,0.5438,-2.2043,-0.5611,4.0479,0.6604
4.480,2.2512,0.5475,-2.2109,-0.5651,4.0479,0.6604
4.502,2.2667,0.5560,-2.2199,-0.5701,4.0605,0.6677
4.524,2.2745,0.5603,-2.2288,-0.5752,4.0748,0.6759
4.544,2.2822,0.5646,-2.2378,-0.5804,4.0748,0.6759
4.566,2.2899,0.5689,-2.2467,-0.5855,4.0901,0.6848
4.588,2.2968,0.5727,-2.2570,-0.5927,4.1021,0.6930
4.608,2.3122,0.5814,-2.2614,-0.5953,4.1021,0.6930
4.630,2.3191,0.5853,-2.2746,-0.6032,4.1161,0.7014
4.652,2.3267,0.5897,-2.2834,-0.6085,4.1312,0.7105
4.672,2.3336,0.5936,-2.2906,-0.6132,4.1312,0.7105
4.694,2.3480,0.6020,-2.2993,-0.6186,4.1444,0.7190
4.716,2.3557,0.6065,-2.3080,-0.6239,4.1444,0.7190
4.736,2.3625,0.6105,-2.3167,-0.6292,4.1583,0.7276
4.758,2.3692,0.6145,-2.3254,-0.6346,4.1730,0.7368
4.780,2.3844,0.6234,-2.3353,-0.6390,4.1730,0.7368
4.800,2.3920,0.6280,-2.3436,-0.6442,4.1846,0.7422
4.822,2.4004,0.6330,-2.3520,-0.6495,4.1979,0.7506
4.844,2.4072,0.6370,-2.3603,-0.6547,4.1979,0.7506
4.864,2.4198,0.6446,-2.3674,-0.6595,4.2121,0.7597
4.886,2.4265,0.6486,-2.3757,-0.6648,4.2249,0.7682
4.908,2.4341,0.6532,-2.3881,-0.6727,4.2249,0.7682
4.928,2.4416,0.6578,-2.3923,-0.6754,4.2381,0.7768
4.950,2.4558,0.6665,-2.4047,-0.6834,4.2381,0.7768
4.972,2.4625,0.6706,-2.4109,-0.6872,4.2522,0.7860
4.992,2.4700,0.6753,-2.4191,-0.6926,4.2641,0.7935
5.014,2.4775,0.6799,-2.4273,-0.6979,4.2641,0.7935
5.036,2.4925,0.6893,-2.4355,-0.7033,4.2771,0.8022
5.056,2.4992,0.6935,-2.4437,-0.7088,4.2911,0.8115
5.078,2.5066,0.6982,-2.4549,-0.7139,4.2911,0.8115
5.100,2.5141,0.7029,-2.4673,-0.7220,4.3081,0.8204
5.120,2.5216,0.7076,-2.4756,-0.7275,4.3213,0.8292
5.142,2.5356,0.7166,-2.4838,-0.7330,4.3213,0.8292
5.164,2.5422,0.7209,-2.4930,-0.7386,4.3352,0.8387
5.184,2.5488,0.7251,-2.5013,-0.7442,4.3352,0.8387
5.206,2.5620,0.7337,-2.5095,-0.7497,4.3502,0.8482
5.228,2.5685,0.7380,-2.5178,-0.7553,4.3634,0.8572
5.248,2.5759,0.7428,-2.5260,-0.7610,4.3634,0.8572
5.270,2.5833,0.7477,-2.5396,-0.7705,4.3773,0.8668
5.292,2.5972,0.7569,-2.5479,-0.7762,4.3926,0.8776
5.312,2.6046,0.7618,-2.5562,-0.7820,4.3926,0.8776
5.334,2.6119,0.7667,-2.5645,-0.7877,4.4058,0.8868
5.356,2.6176,0.7705,-2.5728,-0.7935,4.4198,0.8967
5.376,2.6306,0.7793,-2.5818,-0.7965,4.4198,0.8967
5.398,2.6371,0.7837,-2.5901,-0.8023,4.4346,0.9037
5.420,2.6445,0.7887,-2.6026,-0.8109,4.4480,0.9130
5.440,2.6583,0.7981,-2.6110,-0.8167,4.4480,0.9130
5.462,2.6664,0.8036,-2.6193,-0.8226,4.4621,0.9230
5.484,2.6729,0.8081,-2.6261,-0.8283,4.4621,0.9230
5.504,2.6802,0.8131,-2.6343,-0.8342,4.4746,0.9329
5.526,2.6875,0.8181,-2.6427,-0.8400,4.4878,0.9423
5.548,2.7006,0.8269,-2.6510,-0.8458,4.4878,0.9423
5.568,2.7071,0.8313,-2.6577,-0.8505,4.5021,0.9522
5.590,2.7136,0.8356,-2.6702,-0.8591,4.5145,0.9608
5.612,2.7276,0.8448,-2.6786,-0.8648,4.5145,0.9608
5.632,2.7349,0.8497,-2.6870,-0.8705,4.5278,0.9700
5.654,2.7423,0.8545,-2.6954,-0.8761,4.5421,0.9798
