trajectory,ate_rmse,ate_mean,ate_max,rpe_rmse,rpe_mean
kiss_raw,5.357886,4.673101,17.064411,0.464222,0.235481
openvins_raw,45.042919,38.774956,105.853362,1.826396,0.848278
ego_localizer,4.993271,3.788038,19.463410,0.616025,0.318639
