t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3343,-0.0198,-0.3493,0.2473,-0.3252,0.0166,-0.3991,0.2870
0.022,0.3343,-0.0198,-0.3601,0.2411,-0.3243,0.0198,-0.3991,0.2870
0.044,0.3355,-0.0200,-0.3601,0.2411,-0.3249,0.0202,-0.4000,0.2795
0.064,0.3362,-0.0201,-0.3601,0.2411,-0.3258,0.0207,-0.4011,0.2805
0.086,0.3372,-0.0204,-0.3601,0.2411,-0.3270,0.0214,-0.4011,0.2805
0.110,0.3398,-0.0209,-0.3601,0.2411,-0.3299,0.0211,-0.4023,0.2816
0.132,0.3411,-0.0212,-0.3601,0.2411,-0.3319,0.0218,-0.4035,0.2826
0.154,0.3433,-0.0216,-0.3601,0.2411,-0.3344,0.0225,-0.4035,0.2826
0.176,0.3479,-0.0224,-0.3601,0.2411,-0.3371,0.0233,-0.4046,0.2836
0.198,0.3498,-0.0226,-0.3601,0.2411,-0.3428,0.0222,-0.4058,0.2847
0.218,0.3544,-0.0232,-0.3920,0.2616,-0.3465,0.0228,-0.4058,0.2847
0.240,0.3571,-0.0236,-0.3920,0.2616,-0.3506,0.0235,-0.4070,0.2857
0.262,0.3644,-0.0243,-0.3920,0.2616,-0.3551,0.0241,-0.4081,0.2867
0.282,0.3668,-0.0246,-0.3920,0.2616,-0.3599,0.0247,-0.4081,0.2867
0.304,0.3748,-0.0253,-0.3920,0.2616,-0.3653,0.0237,-0.4093,0.2878
0.326,0.3792,-0.0257,-0.3920,0.2616,-0.3708,0.0242,-0.4105,0.2888
0.346,0.3843,-0.0262,-0.3920,0.2616,-0.3766,0.0247,-0.4105,0.2888
0.368,0.3909,-0.0268,-0.3920,0.2616,-0.3858,0.0255,-0.4116,0.2898
0.390,0.3965,-0.0272,-0.3920,0.2616,-0.3924,0.0261,-0.4128,0.2909
0.410,0.4073,-0.0281,-0.3920,0.2616,-0.3971,0.0273,-0.4128,0.2909
0.432,0.4122,-0.0285,-0.4131,0.2845,-0.4042,0.0278,-0.4555,0.3202
0.454,0.4188,-0.0290,-0.4131,0.2845,-0.4117,0.0284,-0.4555,0.3202
0.474,0.4257,-0.0295,-0.4131,0.2845,-0.4195,0.0289,-0.4571,0.3216
0.496,0.4385,-0.0304,-0.4131,0.2845,-0.4275,0.0294,-0.4589,0.3230
0.516,0.4444,-0.0308,-0.4131,0.2845,-0.4413,0.0293,-0.4589,0.3230
0.538,0.4592,-0.0317,-0.4131,0.2845,-0.4502,0.0297,-0.4606,0.3245
0.560,0.4673,-0.0322,-0.4131,0.2845,-0.4594,0.0301,-0.4623,0.3258
0.580,0.4747,-0.0326,-0.4131,0.2845,-0.4687,0.0305,-0.4623,0.3258
0.602,0.4879,-0.0334,-0.4131,0.2845,-0.4783,0.0309,-0.4641,0.3273
0.624,0.4937,-0.0337,-0.4227,0.2893,-0.4869,0.0301,-0.4658,0.3287
0.644,0.5014,-0.0341,-0.4227,0.2893,-0.4968,0.0304,-0.4658,0.3287
0.666,0.5183,-0.0349,-0.4227,0.2893,-0.5068,0.0307,-0.4675,0.3301
0.688,0.5263,-0.0353,-0.4227,0.2893,-0.5221,0.0310,-0.4675,0.3301
0.708,0.5344,-0.0356,-0.4227,0.2893,-0.5334,0.0346,-0.4692,0.3315
0.730,0.5518,-0.0363,-0.4227,0.2893,-0.5438,0.0348,-0.4710,0.3330
0.750,0.5612,-0.0367,-0.4227,0.2893,-0.5544,0.0350,-0.4710,0.3330
0.772,0.5695,-0.0370,-0.4227,0.2893,-0.5651,0.0351,-0.4727,0.3343
0.794,0.5779,-0.0373,-0.4227,0.2893,-0.5758,0.0352,-0.4744,0.3358
0.814,0.5948,-0.0378,-0.4051,0.2846,-0.5864,0.0352,-0.4744,0.3358
0.836,0.6034,-0.0380,-0.4051,0.2846,-0.5972,0.0353,-0.4477,0.3211
0.858,0.6119,-0.0382,-0.4051,0.2846,-0.6137,0.0352,-0.4490,0.3223
0.878,0.6302,-0.0386,-0.4051,0.2846,-0.6247,0.0351,-0.4490,0.3223
0.900,0.6387,-0.0387,-0.4051,0.2846,-0.6357,0.0349,-0.4503,0.3235
0.922,0.6484,-0.0388,-0.4051,0.2846,-0.6460,0.0341,-0.4503,0.3235
0.942,0.6581,-0.0389,-0.4051,0.2846,-0.6570,0.0339,-0.4517,0.3247
0.964,0.6763,-0.0390,-0.4051,0.2846,-0.6680,0.0335,-0.4530,0.3259
0.986,0.6849,-0.0390,-0.4051,0.2846,-0.6845,0.0330,-0.4530,0.3259
1.006,0.6946,-0.0389,-0.4051,0.2846,-0.6901,0.0328,-0.4544,0.3271
1.028,0.7107,-0.0388,-0.3699,0.3063,-0.7064,0.0334,-0.4558,0.3283
1.048,0.7194,-0.0388,-0.3699,0.3063,-0.7174,0.0330,-0.4558,0.3283
1.070,0.7280,-0.0387,-0.3699,0.3063,-0.7285,0.0325,-0.4570,0.3295
1.092,0.7441,-0.0384,-0.3699,0.3063,-0.7396,0.0319,-0.4584,0.3307
1.112,0.7538,-0.0382,-0.3699,0.3063,-0.7512,0.0329,-0.4584,0.3307
1.134,0.7625,-0.0381,-0.3699,0.3063,-0.7623,0.0323,-0.4598,0.3319
1.156,0.7711,-0.0378,-0.3699,0.3063,-0.7735,0.0317,-0.4611,0.3331
1.176,0.7905,-0.0373,-0.3699,0.3063,-0.7902,0.0306,-0.4611,0.3331
1.198,0.7991,-0.0370,-0.3699,0.3063,-0.8013,0.0299,-0.4624,0.3343
1.220,0.8077,-0.0367,-0.3491,0.3346,-0.8099,0.0337,-0.4624,0.3343
1.240,0.8250,-0.0360,-0.3491,0.3346,-0.8210,0.0330,-0.3993,0.3769
1.262,0.8325,-0.0357,-0.3491,0.3346,-0.8320,0.0322,-0.3997,0.3786
1.282,0.8476,-0.0350,-0.3491,0.3346,-0.8431,0.0314,-0.3997,0.3786
1.304,0.8562,-0.0346,-0.3491,0.3346,-0.8507,0.0352,-0.4002,0.3804
1.326,0.8714,-0.0338,-0.3491,0.3346,-0.8617,0.0345,-0.4007,0.3822
1.346,0.8801,-0.0333,-0.3491,0.3346,-0.8728,0.0337,-0.4007,0.3822
1.368,0.8888,-0.0328,-0.3491,0.3346,-0.8894,0.0324,-0.4012,0.3839
1.390,0.9063,-0.0318,-0.3491,0.3346,-0.9005,0.0316,-0.4016,0.3856
1.410,0.9151,-0.0312,-0.3491,0.3346,-0.9104,0.0312,-0.4016,0.3856
1.432,0.9238,-0.0306,-0.3491,0.3346,-0.9215,0.0303,-0.4021,0.3874
1.454,0.9337,-0.0299,-0.3491,0.3346,-0.9326,0.0294,-0.4021,0.3874
1.474,0.9524,-0.0286,-0.3491,0.3346,-0.9437,0.0284,-0.4026,0.3891
1.496,0.9612,-0.0279,-0.3491,0.3346,-0.9549,0.0274,-0.4030,0.3909
1.518,0.9700,-0.0272,-0.3491,0.3346,-0.9712,0.0250,-0.4030,0.3909
1.538,0.9888,-0.0257,-0.3491,0.3346,-0.9826,0.0239,-0.4035,0.3927
1.560,0.9987,-0.0249,-0.3491,0.3346,-0.9939,0.0227,-0.4040,0.3944
1.580,1.0075,-0.0241,-0.3491,0.3346,-1.0053,0.0215,-0.4040,0.3944
1.602,1.0164,-0.0233,-0.3491,0.3346,-1.0167,0.0203,-0.4045,0.3962
1.624,1.0352,-0.0216,-0.3491,0.3346,-1.0286,0.0180,-0.4049,0.3980
1.644,1.0440,-0.0208,-0.2988,0.3427,-1.0400,0.0167,-0.4049,0.3980
1.666,1.0540,-0.0198,-0.2988,0.3427,-1.0513,0.0153,-0.3572,0.3922
1.688,1.0716,-0.0179,-0.2988,0.3427,-1.0684,0.0131,-0.3572,0.3922
1.708,1.0804,-0.0168,-0.2988,0.3427,-1.0824,0.0100,-0.3570,0.3939
1.730,1.0902,-0.0154,-0.2988,0.3427,-1.0937,0.0082,-0.3569,0.3956
1.752,1.0999,-0.0140,-0.2988,0.3427,-1.1049,0.0063,-0.3569,0.3956
