t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
35.324,264,918,6505.6,1.000,0.001
37.324,263,920,6493.6,1.000,0.001
39.324,269,909,6454.8,1.000,0.001
41.324,286,846,6377.6,0.955,0.030
43.324,226,763,5741.2,0.960,0.058
45.324,328,1034,6878.6,0.951,0.057
47.324,305,1020,5977.0,0.944,0.069
49.324,297,692,3065.2,0.906,0.083
51.324,190,410,1245.6,0.905,0.066
53.324,214,350,500.3,0.888,0.082
55.324,336,380,409.3,0.884,0.110
57.324,239,371,477.0,0.929,0.096
59.324,287,399,523.4,0.892,0.055
61.324,278,289,424.7,0.878,0.049
63.324,141,198,493.2,0.972,0.017
65.324,137,334,2152.2,0.993,0.018
67.324,166,586,7107.1,0.982,0.023
69.324,161,646,9375.5,0.944,0.028
71.324,154,628,10049.9,0.968,0.029
73.324,141,647,10399.0,0.943,0.036
75.324,129,638,11217.3,0.992,0.046
77.324,147,661,13091.0,0.973,0.050
79.324,112,498,9848.1,0.991,0.045
81.324,72,310,6146.4,0.917,0.077
83.324,46,213,4355.0,0.957,0.064
85.324,48,225,4852.9,0.958,0.038
87.324,51,212,4692.7,0.922,0.070
