scenario,backend,pos_rmse,pos_max,yaw_rmse,upd_mean_us,upd_p95_us,upd_total_ms,on,denied,reacq
keystone (odom+IMU+GNSS, denial window),EKF (hand-rolled),0.9253485386146241,1.4983833348919793,0.00390396304792024,187.70249197405064,279.34444624406746,187.70249197405064,0.5799325797056409,1.4563142893244971,0.40768833342652927
keystone (odom+IMU+GNSS, denial window),GTSAM ISAM2 (factor graph),0.9103216582063448,1.489065086515202,0.030171449857349233,661.7605569626903,1382.7688493620367,661.7605569626903,0.5764421889793387,1.4480335349095208,0.5283491644673138
frontend (LIO/VIO deltas + IMU, no GNSS),EKF (hand-rolled),0.19372229267614638,0.32627536670080104,0.027752720295488854,209.82992231438402,302.432247553952,83.93196892575361,,,
frontend (LIO/VIO deltas + IMU, no GNSS),GTSAM ISAM2 (factor graph),0.18375646465717896,0.34616123673323096,0.027396174624639707,220.60484761823318,370.0977507833158,88.24193904729327,,,
