trajectory,ate_rmse,ate_mean,ate_max,rpe_rmse,rpe_mean
ego_localizer,0.077186,0.073687,0.188694,0.009136,0.008044
openvins_raw,0.068966,0.065760,0.178287,0.004248,0.002158
