0.2960,0.0016,0.0
0.2960,0.0016,0.0
0.2963,0.0017,0.0
0.2969,0.0017,0.0
0.2976,0.0019,0.0
0.2985,0.0020,0.0
0.3009,0.0024,0.0
0.3024,0.0026,0.0
0.3042,0.0028,0.0
0.3063,0.0031,0.0
0.3085,0.0033,0.0
0.3111,0.0036,0.0
0.3171,0.0041,0.0
0.3206,0.0043,0.0
0.3244,0.0046,0.0
0.3286,0.0048,0.0
0.3330,0.0051,0.0
0.3428,0.0056,0.0
0.3481,0.0060,0.0
0.3537,0.0063,0.0
0.3596,0.0066,0.0
0.3658,0.0070,0.0
0.3722,0.0073,0.0
0.3858,0.0081,0.0
0.3931,0.0085,0.0
0.4006,0.0090,0.0
0.4083,0.0095,0.0
0.4162,0.0099,0.0
0.4324,0.0110,0.0
0.4406,0.0115,0.0
0.4489,0.0121,0.0
0.4573,0.0127,0.0
0.4648,0.0132,0.0
0.4826,0.0145,0.0
0.4912,0.0151,0.0
0.4997,0.0158,0.0
0.5083,0.0164,0.0
0.5170,0.0171,0.0
0.5343,0.0185,0.0
0.5429,0.0193,0.0
0.5516,0.0200,0.0
0.5602,0.0208,0.0
0.5689,0.0216,0.0
0.5776,0.0225,0.0
0.5949,0.0242,0.0
0.6035,0.0251,0.0
0.6122,0.0261,0.0
0.6209,0.0270,0.0
0.6295,0.0280,0.0
0.6469,0.0300,0.0
0.6556,0.0311,0.0
0.6633,0.0320,0.0
0.6719,0.0331,0.0
0.6806,0.0342,0.0
0.6979,0.0364,0.0
0.7066,0.0376,0.0
0.7153,0.0388,0.0
0.7239,0.0400,0.0
0.7326,0.0412,0.0
0.7500,0.0436,0.0
0.7587,0.0449,0.0
0.7673,0.0462,0.0
0.7760,0.0474,0.0
0.7847,0.0487,0.0
0.8011,0.0512,0.0
0.8099,0.0526,0.0
0.8186,0.0539,0.0
0.8273,0.0552,0.0
0.8361,0.0566,0.0
0.8448,0.0580,0.0
0.8623,0.0607,0.0
0.8710,0.0621,0.0
0.8798,0.0636,0.0
0.8886,0.0650,0.0
0.8973,0.0664,0.0
0.9071,0.0681,0.0
0.9246,0.0710,0.0
0.9333,0.0725,0.0
0.9421,0.0740,0.0
0.9509,0.0756,0.0
0.9597,0.0771,0.0
0.9773,0.0803,0.0
0.9861,0.0820,0.0
0.9949,0.0836,0.0
1.0037,0.0853,0.0
1.0125,0.0870,0.0
1.0302,0.0903,0.0
1.0390,0.0920,0.0
1.0479,0.0936,0.0
1.0567,0.0953,0.0
1.0655,0.0970,0.0
1.0744,0.0987,0.0
1.0920,0.1021,0.0
1.1008,0.1039,0.0
1.1095,0.1056,0.0
1.1183,0.1074,0.0
1.1271,0.1092,0.0
1.1445,0.1128,0.0
1.1532,0.1147,0.0
1.1618,0.1166,0.0
1.1705,0.1185,0.0
1.1791,0.1205,0.0
1.1962,0.1244,0.0
1.2048,0.1264,0.0
1.2134,0.1284,0.0
1.2219,0.1305,0.0
1.2304,0.1326,0.0
1.2389,0.1347,0.0
1.2560,0.1389,0.0
1.2645,0.1410,0.0
1.2729,0.1432,0.0
1.2814,0.1454,0.0
1.2899,0.1476,0.0
1.3068,0.1520,0.0
1.3153,0.1543,0.0
1.3238,0.1565,0.0
1.3322,0.1588,0.0
1.3407,0.1611,0.0
1.3492,0.1634,0.0
1.3662,0.1681,0.0
