t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
0.000,0.3482,0.0068,-0.0119,0.0741,-0.2981,-0.0178,-0.0025,0.0539
0.022,0.3486,0.0068,-0.0269,0.0661,-0.2959,-0.0181,-0.0018,0.0540
0.042,0.3492,0.0068,-0.0269,0.0661,-0.2949,-0.0182,-0.0056,0.0508
0.064,0.3507,0.0071,-0.0269,0.0661,-0.2939,-0.0185,-0.0056,0.0508
0.086,0.3517,0.0072,-0.0269,0.0661,-0.2953,-0.0185,-0.0050,0.0508
0.106,0.3542,0.0076,-0.0269,0.0661,-0.2957,-0.0189,-0.0044,0.0509
0.130,0.3559,0.0078,-0.0269,0.0661,-0.2967,-0.0194,-0.0044,0.0509
0.152,0.3576,0.0080,-0.0269,0.0661,-0.2981,-0.0199,-0.0038,0.0510
0.174,0.3618,0.0085,-0.0269,0.0661,-0.2998,-0.0204,-0.0032,0.0510
0.196,0.3659,0.0088,-0.0269,0.0661,-0.3087,-0.0184,-0.0032,0.0510
0.218,0.3700,0.0091,-0.0116,0.0698,-0.3119,-0.0189,-0.0025,0.0511
0.240,0.3746,0.0095,-0.0116,0.0698,-0.3155,-0.0193,-0.0020,0.0512
0.260,0.3782,0.0097,-0.0116,0.0698,-0.3194,-0.0198,-0.0020,0.0512
0.282,0.3851,0.0102,-0.0116,0.0698,-0.3237,-0.0203,-0.0013,0.0512
0.304,0.3920,0.0106,-0.0116,0.0698,-0.3315,-0.0215,-0.0007,0.0513
0.324,0.3966,0.0109,-0.0116,0.0698,-0.3367,-0.0221,-0.0007,0.0513
0.346,0.4021,0.0113,-0.0116,0.0698,-0.3451,-0.0231,-0.0002,0.0514
0.368,0.4072,0.0116,-0.0116,0.0698,-0.3511,-0.0239,0.0005,0.0514
0.388,0.4180,0.0123,-0.0116,0.0698,-0.3627,-0.0229,0.0005,0.0514
0.410,0.4238,0.0127,-0.0116,0.0698,-0.3697,-0.0236,0.0011,0.0515
0.430,0.4297,0.0130,-0.0116,0.0698,-0.3770,-0.0243,0.0011,0.0515
0.452,0.4424,0.0138,-0.0116,0.0698,-0.3847,-0.0251,0.0017,0.0516
0.474,0.4490,0.0143,-0.0116,0.0698,-0.3927,-0.0259,0.0023,0.0516
0.494,0.4585,0.0149,0.0195,0.0305,-0.4014,-0.0268,0.0023,0.0516
0.516,0.4647,0.0153,0.0195,0.0305,-0.4144,-0.0281,0.0379,0.0221
0.538,0.4803,0.0164,0.0195,0.0305,-0.4233,-0.0291,0.0389,0.0217
0.558,0.4888,0.0170,0.0195,0.0305,-0.4324,-0.0301,0.0389,0.0217
0.580,0.4955,0.0175,0.0195,0.0305,-0.4493,-0.0287,0.0401,0.0214
0.602,0.5111,0.0186,0.0195,0.0305,-0.4590,-0.0296,0.0412,0.0210
0.622,0.5190,0.0192,0.0195,0.0305,-0.4687,-0.0306,0.0412,0.0210
0.644,0.5289,0.0199,0.0195,0.0305,-0.4786,-0.0316,0.0422,0.0207
0.666,0.5420,0.0208,0.0195,0.0305,-0.4935,-0.0331,0.0422,0.0207
0.686,0.5502,0.0214,0.0195,0.0305,-0.5024,-0.0337,0.0433,0.0203
0.708,0.5635,0.0223,0.0195,0.0305,-0.5123,-0.0347,0.0445,0.0200
0.728,0.5696,0.0227,0.0896,0.0078,-0.5224,-0.0356,0.0445,0.0200
0.750,0.5863,0.0239,0.0896,0.0078,-0.5324,-0.0365,0.1378,-0.0050
0.772,0.5936,0.0243,0.0896,0.0078,-0.5426,-0.0375,0.1402,-0.0058
0.792,0.6073,0.0252,0.0896,0.0078,-0.5545,-0.0346,0.1402,-0.0058
0.814,0.6146,0.0257,0.0896,0.0078,-0.5647,-0.0353,0.1426,-0.0065
0.836,0.6327,0.0269,0.0896,0.0078,-0.5800,-0.0365,0.1449,-0.0071
0.856,0.6401,0.0274,0.0896,0.0078,-0.5902,-0.0372,0.1449,-0.0071
0.878,0.6476,0.0279,0.0896,0.0078,-0.6004,-0.0380,0.1473,-0.0078
0.900,0.6614,0.0287,0.0896,0.0078,-0.6172,-0.0404,0.1473,-0.0078
0.920,0.6751,0.0296,0.1876,0.0087,-0.6274,-0.0411,0.1498,-0.0085
0.942,0.6867,0.0303,0.1876,0.0087,-0.6376,-0.0418,0.1520,-0.0092
0.962,0.6920,0.0307,0.1876,0.0087,-0.6478,-0.0425,0.1520,-0.0092
0.984,0.7089,0.0317,0.1876,0.0087,-0.6617,-0.0466,0.1545,-0.0099
1.006,0.7152,0.0321,0.1876,0.0087,-0.6717,-0.0474,0.1569,-0.0106
1.026,0.7321,0.0332,0.1876,0.0087,-0.6817,-0.0482,0.1569,-0.0106
1.048,0.7405,0.0337,0.1876,0.0087,-0.6917,-0.0490,0.1592,-0.0113
1.070,0.7500,0.0344,0.1876,0.0087,-0.7017,-0.0498,0.1616,-0.0120
1.090,0.7648,0.0353,0.1876,0.0087,-0.7131,-0.0504,0.1616,-0.0120
1.112,0.7742,0.0360,0.1876,0.0087,-0.7230,-0.0513,0.1640,-0.0127
1.134,0.7827,0.0366,0.2998,0.0262,-0.7330,-0.0522,0.3315,0.0242
1.154,0.7921,0.0373,0.2998,0.0262,-0.7429,-0.0530,0.3315,0.0242
1.176,0.8111,0.0387,0.2998,0.0262,-0.7577,-0.0544,0.3363,0.0241
1.198,0.8174,0.0392,0.2998,0.0262,-0.7701,-0.0550,0.3363,0.0241
1.218,0.8258,0.0398,0.2998,0.0262,-0.7801,-0.0560,0.3411,0.0239
1.240,0.8437,0.0413,0.2998,0.0262,-0.7900,-0.0570,0.3456,0.0237
1.260,0.8531,0.0421,0.2998,0.0262,-0.7999,-0.0580,0.3456,0.0237
1.282,0.8616,0.0428,0.2998,0.0262,-0.8098,-0.0590,0.3504,0.0236
1.304,0.8773,0.0442,0.2998,0.0262,-0.8226,-0.0601,0.3552,0.0234
1.324,0.8848,0.0449,0.3729,-0.0024,-0.8326,-0.0612,0.3552,0.0234
1.346,0.8996,0.0463,0.3729,-0.0024,-0.8477,-0.0630,0.3597,0.0233
1.368,0.9092,0.0473,0.3729,-0.0024,-0.8577,-0.0642,0.3645,0.0231
1.388,0.9231,0.0487,0.3729,-0.0024,-0.8678,-0.0654,0.3645,0.0231
1.410,0.9316,0.0496,0.3729,-0.0024,-0.8810,-0.0664,0.3693,0.0229
1.432,0.9412,0.0507,0.3729,-0.0024,-0.8912,-0.0677,0.3693,0.0229
1.452,0.9509,0.0518,0.3729,-0.0024,-0.9015,-0.0691,0.3738,0.0228
1.474,0.9702,0.0540,0.3729,-0.0024,-0.9117,-0.0705,0.3786,0.0226
1.494,0.9766,0.0548,0.3729,-0.0024,-0.9255,-0.0711,0.3786,0.0226
1.516,0.9863,0.0560,0.4809,-0.0161,-0.9410,-0.0733,0.3834,0.0224
1.538,1.0034,0.0581,0.4809,-0.0161,-0.9512,-0.0748,0.5050,-0.0029
1.558,1.0129,0.0593,0.4809,-0.0161,-0.9615,-0.0763,0.5050,-0.0029
1.580,1.0204,0.0602,0.4809,-0.0161,-0.9717,-0.0778,0.5115,-0.0035
1.602,1.0331,0.0619,0.4809,-0.0161,-0.9871,-0.0792,0.5180,-0.0040
1.622,1.0425,0.0633,0.4809,-0.0161,-0.9974,-0.0808,0.5180,-0.0040
1.644,1.0520,0.0648,0.4809,-0.0161,-1.0077,-0.0826,0.5241,-0.0045
1.666,1.0698,0.0677,0.4809,-0.0161,-1.0231,-0.0855,0.5241,-0.0045
1.686,1.0781,0.0692,0.4809,-0.0161,-1.0362,-0.0857,0.5306,-0.0050
1.708,1.0906,0.0715,0.4809,-0.0161,-1.0465,-0.0877,0.5370,-0.0055
1.730,1.0989,0.0730,0.5713,0.0139,-1.0568,-0.0897,0.5370,-0.0055
1.750,1.1082,0.0748,0.5713,0.0139,-1.0671,-0.0918,0.5431,-0.0060
1.772,1.1260,0.0782,0.5713,0.0139,-1.0775,-0.0939,0.5496,-0.0066
1.792,1.1375,0.0805,0.5713,0.0139,-1.0876,-0.0954,0.5496,-0.0066
1.814,1.1470,0.0823,0.5713,0.0139,-1.0980,-0.0976,0.5561,-0.0071
1.836,1.1565,0.0842,0.5713,0.0139,-1.1137,-0.1009,0.5622,-0.0076
1.856,1.1660,0.0862,0.5713,0.0139,-1.1242,-0.1031,0.5622,-0.0076
1.878,1.1829,0.0896,0.5713,0.0139,-1.1347,-0.1054,0.5687,-0.0081
1.900,1.1872,0.0905,0.5713,0.0139,-1.1446,-0.1068,0.5687,-0.0081
1.920,1.1967,0.0925,0.6877,0.0312,-1.1552,-0.1091,0.5752,-0.0086
1.942,1.2147,0.0962,0.6877,0.0312,-1.1657,-0.1114,0.6984,0.0521
1.964,1.2243,0.0982,0.6877,0.0312,-1.1816,-0.1148,0.6984,0.0521
1.984,1.2327,0.1000,0.6877,0.0312,-1.1880,-0.1195,0.7066,0.0524
2.006,1.2497,0.1035,0.6877,0.0312,-1.1985,-0.1219,0.7148,0.0528
2.026,1.2593,0.1056,0.6877,0.0312,-1.2090,-0.1243,0.7148,0.0528
2.048,1.2677,0.1074,0.6877,0.0312,-1.2195,-0.1267,0.7225,0.0531
2.070,1.2772,0.1095,0.6877,0.0312,-1.2299,-0.1291,0.7306,0.0535
2.090,1.2928,0.1131,0.6877,0.0312,-1.2403,-0.1316,0.7306,0.0535
2.112,1.3022,0.1152,0.6877,0.0312,-1.2498,-0.1328,0.7388,0.0538
2.134,1.3094,0.1169,0.7628,0.0200,-1.2653,-0.1366,0.7465,0.0542
2.154,1.3270,0.1211,0.7628,0.0200,-1.2704,-0.1379,0.7465,0.0542
2.176,1.3352,0.1231,0.7628,0.0200,-1.2858,-0.1417,0.7547,0.0545
2.198,1.3465,0.1259,0.7628,0.0200,-1.2967,-0.1415,0.7547,0.0545
2.218,1.3537,0.1277,0.7628,0.0200,-1.3070,-0.1441,0.7629,0.0549
2.240,1.3700,0.1319,0.7628,0.0200,-1.3172,-0.1467,0.7706,0.0553
2.262,1.3792,0.1343,0.7628,0.0200,-1.3274,-0.1494,0.7706,0.0553
2.282,1.3874,0.1365,0.7628,0.0200,-1.3377,-0.1521,0.7788,0.0556
2.304,1.4047,0.1411,0.7628,0.0200,-1.3470,-0.1556,0.7869,0.0560
2.324,1.4118,0.1430,0.8360,0.0107,-1.3572,-0.1583,0.7869,0.0560
2.346,1.4210,0.1455,0.8360,0.0107,-1.3725,-0.1625,0.8435,0.0413
2.368,1.4362,0.1496,0.8360,0.0107,-1.3827,-0.1653,0.8524,0.0415
2.388,1.4464,0.1524,0.8360,0.0107,-1.3936,-0.1693,0.8524,0.0415
2.410,1.4545,0.1547,0.8360,0.0107,-1.4039,-0.1722,0.8613,0.0416
2.432,1.4626,0.1570,0.8360,0.0107,-1.4141,-0.1751,0.8613,0.0416
2.452,1.4798,0.1619,0.8360,0.0107,-1.4243,-0.1780,0.8697,0.0417
