t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
0.000,0,0,0.0,,
4.652,207,600,6076.4,0.942,0.061
6.652,173,595,6526.2,1.000,0.000
8.654,184,607,6584.8,0.984,0.014
10.654,182,593,6541.4,0.978,0.033
12.654,197,617,6584.0,0.970,0.052
14.654,212,660,6373.0,0.958,0.060
16.654,171,538,6956.2,0.947,0.055
18.654,131,419,5380.0,0.962,0.029
20.654,137,354,2768.2,0.942,0.035
22.654,139,275,1273.9,0.935,0.048
24.654,319,122,375.8,0.846,0.080
26.654,307,197,332.3,0.896,0.052
28.654,325,115,265.2,0.846,0.065
30.654,321,100,301.5,0.847,0.097
32.654,262,104,322.8,0.840,0.085
34.654,238,46,287.3,0.651,0.089
36.654,171,177,317.7,0.848,0.026
38.654,372,355,351.9,0.887,0.039
40.654,96,214,922.0,0.844,0.036
42.654,123,479,4268.4,0.951,0.029
44.654,171,511,3949.9,0.977,0.039
46.654,98,397,3720.3,0.969,0.032
48.654,118,435,4124.2,0.983,0.022
50.654,177,546,4479.8,0.960,0.051
52.654,131,392,1908.0,0.969,0.048
54.654,76,211,1204.7,0.987,0.033
