t_sim,n_shi,n_fast,lap_var,klt_surv,klt_err_px
0.000,0,0,0.0,,
4.750,194,567,5294.9,0.778,0.166
6.750,159,476,4523.4,1.000,0.001
8.750,152,495,4638.4,0.967,0.010
10.750,168,477,4514.9,0.976,0.035
12.750,193,543,4888.8,0.938,0.042
14.750,118,318,3006.1,0.754,0.034
16.750,95,170,1645.6,0.968,0.041
18.750,66,126,991.8,0.424,0.016
20.750,150,44,284.7,0.827,0.042
22.750,120,44,268.3,0.883,0.039
24.750,132,107,343.3,0.909,0.021
26.750,113,92,360.2,0.850,0.013
28.750,154,95,312.9,0.883,0.015
30.750,152,123,329.4,0.941,0.017
32.750,247,184,353.8,0.935,0.030
34.750,89,161,745.0,0.921,0.034
36.750,77,257,3686.4,0.922,0.041
38.750,144,529,5380.7,0.972,0.027
40.750,155,471,4462.0,0.981,0.020
42.750,97,364,5130.9,0.990,0.026
44.750,93,408,6566.5,0.957,0.043
46.750,121,489,8091.8,0.975,0.051
48.750,125,503,6337.9,0.976,0.023
50.750,117,336,4076.3,0.949,0.022
52.750,79,198,2982.7,0.937,0.032
54.750,102,201,1030.3,0.941,0.019
