t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
1.344,0.8152,-0.0291,-0.1302,0.1208,-0.0228,-0.7894,-0.1785,0.1065
1.365,0.8238,-0.0288,-0.1302,0.1208,-0.0202,-0.7960,-0.1792,0.1072
1.386,0.8324,-0.0285,-0.1302,0.1208,-0.0198,-0.8049,-0.1792,0.1072
1.407,0.8410,-0.0282,-0.1302,0.1208,-0.0194,-0.8154,-0.1799,0.1079
1.428,0.8582,-0.0276,-0.1302,0.1208,-0.0189,-0.8258,-0.1805,0.1086
1.449,0.8668,-0.0273,-0.1302,0.1208,-0.0185,-0.8348,-0.1805,0.1086
1.470,0.8754,-0.0270,-0.0873,0.1444,-0.0174,-0.8415,-0.0948,0.1462
1.491,0.8840,-0.0267,-0.0873,0.1444,-0.0169,-0.8519,-0.0943,0.1474
1.512,0.8926,-0.0263,-0.0873,0.1444,-0.0164,-0.8608,-0.0943,0.1474
1.533,0.9012,-0.0259,-0.0873,0.1444,-0.0155,-0.8758,-0.0937,0.1486
1.554,0.9186,-0.0250,-0.0873,0.1444,-0.0163,-0.8820,-0.0937,0.1486
1.575,0.9273,-0.0245,-0.0873,0.1444,-0.0156,-0.8925,-0.0931,0.1498
1.596,0.9361,-0.0239,-0.0873,0.1444,-0.0149,-0.9014,-0.0925,0.1509
1.617,0.9448,-0.0233,-0.0873,0.1444,-0.0141,-0.9119,-0.0925,0.1509
1.638,0.9536,-0.0227,-0.0873,0.1444,-0.0132,-0.9225,-0.0920,0.1521
1.659,0.9624,-0.0221,-0.0473,0.1559,-0.0150,-0.9259,-0.0913,0.1534
1.680,0.9799,-0.0207,-0.0473,0.1559,-0.0141,-0.9362,-0.0913,0.1534
1.701,0.9887,-0.0199,-0.0473,0.1559,-0.0132,-0.9466,-0.0908,0.1546
1.722,0.9975,-0.0191,-0.0473,0.1559,-0.0123,-0.9555,-0.0908,0.1546
1.743,1.0063,-0.0182,-0.0473,0.1559,-0.0108,-0.9703,-0.0902,0.1558
1.764,1.0150,-0.0173,-0.0473,0.1559,-0.0093,-0.9776,-0.0896,0.1570
1.785,1.0237,-0.0164,-0.0473,0.1559,-0.0082,-0.9878,-0.0896,0.1570
1.806,1.0412,-0.0145,-0.0473,0.1559,-0.0072,-0.9965,-0.0891,0.1582
1.827,1.0499,-0.0135,-0.0473,0.1559,-0.0059,-1.0068,-0.0885,0.1594
1.848,1.0586,-0.0125,-0.0473,0.1559,-0.0047,-1.0170,-0.0885,0.1594
1.869,1.0673,-0.0115,-0.0178,0.1665,-0.0029,-1.0247,-0.0319,0.1728
1.890,1.0760,-0.0104,-0.0178,0.1665,-0.0016,-1.0349,-0.0306,0.1742
1.911,1.0846,-0.0094,-0.0178,0.1665,-0.0002,-1.0451,-0.0306,0.1742
1.932,1.1020,-0.0073,-0.0178,0.1665,0.0009,-1.0538,-0.0292,0.1756
1.953,1.1106,-0.0062,-0.0178,0.1665,0.0016,-1.0681,-0.0292,0.1756
1.974,1.1191,-0.0052,-0.0178,0.1665,0.0029,-1.0781,-0.0277,0.1771
1.995,1.1277,-0.0041,-0.0178,0.1665,0.0041,-1.0881,-0.0263,0.1784
2.016,1.1362,-0.0031,-0.0178,0.1665,0.0052,-1.0967,-0.0263,0.1784
2.037,1.1447,-0.0021,-0.0178,0.1665,0.0065,-1.1067,-0.0250,0.1798
2.058,1.1616,0.0000,0.0116,0.1821,0.0058,-1.1149,-0.0236,0.1812
2.079,1.1701,0.0011,0.0116,0.1821,0.0069,-1.1234,-0.0236,0.1812
2.100,1.1785,0.0021,0.0116,0.1821,0.0081,-1.1333,-0.0222,0.1825
2.121,1.1869,0.0032,0.0116,0.1821,0.0094,-1.1431,-0.0222,0.1825
2.142,1.1954,0.0043,0.0116,0.1821,0.0105,-1.1516,-0.0209,0.1839
2.163,1.2038,0.0054,0.0116,0.1821,0.0114,-1.1639,-0.0195,0.1853
2.184,1.2206,0.0075,0.0116,0.1821,0.0127,-1.1736,-0.0195,0.1853
2.205,1.2290,0.0087,0.0116,0.1821,0.0140,-1.1834,-0.0181,0.1866
2.226,1.2373,0.0098,0.0116,0.1821,0.0151,-1.1918,-0.0168,0.1880
2.247,1.2457,0.0109,0.0116,0.1821,0.0164,-1.2015,-0.0168,0.1880
2.268,1.2541,0.0121,0.0524,0.2001,0.0175,-1.2097,0.0313,0.2109
2.289,1.2624,0.0132,0.0524,0.2001,0.0186,-1.2180,0.0313,0.2109
2.310,1.2792,0.0156,0.0524,0.2001,0.0200,-1.2277,0.0334,0.2126
2.331,1.2875,0.0167,0.0524,0.2001,0.0213,-1.2374,0.0354,0.2143
2.352,1.2959,0.0179,0.0524,0.2001,0.0225,-1.2457,0.0354,0.2143
2.373,1.3042,0.0191,0.0524,0.2001,0.0238,-1.2581,0.0374,0.2160
2.394,1.3126,0.0204,0.0524,0.2001,0.0252,-1.2678,0.0395,0.2176
2.415,1.3209,0.0216,0.0524,0.2001,0.0266,-1.2774,0.0395,0.2176
2.436,1.3376,0.0239,0.0524,0.2001,0.0277,-1.2856,0.0415,0.2193
2.457,1.3459,0.0251,0.0968,0.2214,0.0301,-1.2954,0.0435,0.2210
2.478,1.3543,0.0263,0.0968,0.2214,0.0315,-1.3051,0.0435,0.2210
2.499,1.3628,0.0276,0.0968,0.2214,0.0327,-1.3135,0.0456,0.2227
2.520,1.3713,0.0288,0.0968,0.2214,0.0342,-1.3233,0.0456,0.2227
2.541,1.3798,0.0301,0.0968,0.2214,0.0357,-1.3331,0.0476,0.2243
2.562,1.3968,0.0328,0.0968,0.2214,0.0359,-1.3410,0.0498,0.2262
2.583,1.4054,0.0341,0.0968,0.2214,0.0381,-1.3551,0.0498,0.2262
2.604,1.4139,0.0355,0.0968,0.2214,0.0396,-1.3650,0.0518,0.2278
2.625,1.4225,0.0369,0.0968,0.2214,0.0412,-1.3748,0.0539,0.2295
2.646,1.4310,0.0383,0.0968,0.2214,0.0426,-1.3833,0.0539,0.2295
2.667,1.4396,0.0397,0.1314,0.2231,0.0444,-1.3941,0.0559,0.2312
2.688,1.4567,0.0426,0.1314,0.2231,0.0461,-1.4040,0.0559,0.2312
2.709,1.4653,0.0441,0.1314,0.2231,0.0475,-1.4125,0.1059,0.2424
2.730,1.4738,0.0456,0.1314,0.2231,0.0493,-1.4224,0.1086,0.2442
2.751,1.4824,0.0471,0.1314,0.2231,0.0510,-1.4324,0.1086,0.2442
2.772,1.4910,0.0487,0.1314,0.2231,0.0524,-1.4409,0.1113,0.2460
2.793,1.4995,0.0502,0.1314,0.2231,0.0550,-1.4551,0.1141,0.2478
2.814,1.5167,0.0534,0.1314,0.2231,0.0568,-1.4650,0.1141,0.2478
2.835,1.5252,0.0550,0.1314,0.2231,0.0586,-1.4749,0.1168,0.2496
2.856,1.5337,0.0565,0.1428,0.2380,0.0608,-1.4835,0.1168,0.2496
2.877,1.5422,0.0581,0.1428,0.2380,0.0626,-1.4934,0.1197,0.2516
