t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
1.890,1.0825,0.1085,-1.0389,-0.1148,3.1579,0.1078
1.912,1.0982,0.1117,-1.0489,-0.1171,3.1748,0.1119
1.934,1.1060,0.1134,-1.0589,-0.1239,3.1748,0.1119
1.956,1.1138,0.1150,-1.0688,-0.1264,3.1918,0.1204
1.976,1.1225,0.1169,-1.0788,-0.1288,3.2077,0.1244
1.998,1.1401,0.1206,-1.0887,-0.1313,3.2077,0.1244
2.020,1.1488,0.1225,-1.1036,-0.1351,3.2246,0.1285
2.040,1.1566,0.1242,-1.1135,-0.1376,3.2414,0.1328
2.062,1.1654,0.1261,-1.1234,-0.1402,3.2414,0.1328
2.082,1.1741,0.1281,-1.1333,-0.1428,3.2573,0.1370
2.104,1.1904,0.1318,-1.1431,-0.1455,3.2740,0.1416
2.126,1.1981,0.1336,-1.1472,-0.1495,3.2740,0.1416
2.146,1.2048,0.1352,-1.1568,-0.1522,3.2847,0.1475
2.168,1.2219,0.1394,-1.1664,-0.1550,3.3000,0.1520
2.190,1.2305,0.1415,-1.1807,-0.1593,3.3000,0.1520
2.210,1.2390,0.1436,-1.1903,-0.1622,3.3164,0.1569
2.232,1.2466,0.1456,-1.1981,-0.1629,3.3164,0.1569
2.254,1.2626,0.1497,-1.2076,-0.1658,3.3309,0.1596
2.274,1.2711,0.1519,-1.2171,-0.1687,3.3460,0.1643
2.296,1.2787,0.1539,-1.2266,-0.1717,3.3460,0.1643
2.318,1.2862,0.1559,-1.2282,-0.1684,3.3622,0.1694
2.340,1.3031,0.1604,-1.2421,-0.1726,3.3701,0.1679
2.360,1.3106,0.1625,-1.2514,-0.1755,3.3701,0.1679
2.382,1.3181,0.1645,-1.2606,-0.1784,3.3848,0.1725
2.404,1.3341,0.1690,-1.2699,-0.1814,3.4008,0.1778
2.424,1.3416,0.1711,-1.2746,-0.1811,3.4008,0.1778
2.446,1.3501,0.1735,-1.2838,-0.1840,3.4118,0.1794
2.468,1.3586,0.1759,-1.2978,-0.1884,3.4265,0.1841
2.488,1.3661,0.1780,-1.3025,-0.1899,3.4265,0.1841
2.510,1.3820,0.1826,-1.3165,-0.1944,3.4427,0.1894
2.532,1.3894,0.1848,-1.3264,-0.1952,3.4427,0.1894
2.552,1.3978,0.1873,-1.3358,-0.1981,3.4591,0.1922
2.574,1.4137,0.1920,-1.3451,-0.2012,3.4740,0.1971
2.596,1.4220,0.1945,-1.3544,-0.2042,3.4740,0.1971
2.616,1.4295,0.1968,-1.3637,-0.2073,3.4898,0.2024
2.638,1.4360,0.1988,-1.3721,-0.2090,3.5047,0.2063
2.660,1.4527,0.2039,-1.3860,-0.2136,3.5047,0.2063
2.680,1.4601,0.2062,-1.3952,-0.2167,3.5195,0.2112
2.702,1.4684,0.2089,-1.4044,-0.2198,3.5352,0.2167
2.724,1.4832,0.2136,-1.4121,-0.2219,3.5352,0.2167
2.744,1.4906,0.2159,-1.4213,-0.2251,3.5492,0.2209
2.766,1.4989,0.2186,-1.4304,-0.2282,3.5492,0.2209
2.788,1.5063,0.2210,-1.4396,-0.2314,3.5638,0.2260
2.808,1.5220,0.2262,-1.4487,-0.2346,3.5794,0.2316
2.830,1.5294,0.2286,-1.4579,-0.2394,3.5794,0.2316
2.852,1.5368,0.2310,-1.4669,-0.2426,3.5903,0.2370
2.872,1.5451,0.2338,-1.4759,-0.2459,3.6046,0.2422
2.894,1.5598,0.2387,-1.4849,-0.2491,3.6046,0.2422
2.916,1.5682,0.2415,-1.4939,-0.2524,3.6201,0.2479
2.936,1.5756,0.2440,-1.5032,-0.2541,3.6357,0.2519
2.958,1.5913,0.2493,-1.5123,-0.2574,3.6357,0.2519
2.980,1.5996,0.2521,-1.5258,-0.2623,3.6501,0.2571
3.000,1.6070,0.2546,-1.5348,-0.2655,3.6501,0.2571
3.022,1.6145,0.2572,-1.5406,-0.2666,3.6654,0.2629
3.044,1.6294,0.2622,-1.5496,-0.2698,3.6774,0.2662
3.064,1.6378,0.2651,-1.5586,-0.2731,3.6774,0.2662
3.086,1.6452,0.2676,-1.5676,-0.2763,3.6918,0.2714
3.108,1.6537,0.2705,-1.5766,-0.2796,3.7072,0.2771
3.128,1.6696,0.2760,-1.5823,-0.2808,3.7072,0.2771
