0.3094,0.0005,0.0
0.3094,0.0005,0.0
0.3098,0.0005,0.0
0.3104,0.0006,0.0
0.3112,0.0008,0.0
0.3134,0.0011,0.0
0.3146,0.0013,0.0
0.3162,0.0015,0.0
0.3182,0.0017,0.0
0.3230,0.0021,0.0
0.3256,0.0023,0.0
0.3283,0.0025,0.0
0.3316,0.0027,0.0
0.3391,0.0031,0.0
0.3433,0.0034,0.0
0.3478,0.0036,0.0
0.3525,0.0038,0.0
0.3621,0.0043,0.0
0.3676,0.0046,0.0
0.3734,0.0049,0.0
0.3843,0.0054,0.0
0.3908,0.0058,0.0
0.3976,0.0061,0.0
0.4038,0.0064,0.0
0.4170,0.0071,0.0
0.4229,0.0074,0.0
0.4299,0.0078,0.0
0.4451,0.0087,0.0
0.4533,0.0092,0.0
0.4670,0.0100,0.0
0.4754,0.0105,0.0
0.4838,0.0111,0.0
0.4923,0.0116,0.0
0.5008,0.0122,0.0
0.5151,0.0132,0.0
0.5237,0.0138,0.0
0.5314,0.0144,0.0
0.5469,0.0155,0.0
0.5556,0.0162,0.0
0.5633,0.0168,0.0
0.5720,0.0175,0.0
0.5886,0.0189,0.0
0.5974,0.0197,0.0
0.6130,0.0212,0.0
0.6218,0.0221,0.0
0.6306,0.0229,0.0
0.6385,0.0237,0.0
0.6473,0.0246,0.0
0.6649,0.0265,0.0
0.6757,0.0277,0.0
0.6835,0.0285,0.0
0.6914,0.0294,0.0
0.7070,0.0311,0.0
0.7159,0.0321,0.0
0.7247,0.0332,0.0
0.7336,0.0343,0.0
0.7504,0.0363,0.0
0.7583,0.0373,0.0
0.7672,0.0385,0.0
0.7760,0.0396,0.0
0.7919,0.0417,0.0
0.7998,0.0428,0.0
0.8087,0.0440,0.0
0.8186,0.0454,0.0
0.8355,0.0477,0.0
0.8435,0.0488,0.0
0.8515,0.0500,0.0
0.8684,0.0524,0.0
0.8764,0.0535,0.0
0.8844,0.0547,0.0
0.9004,0.0571,0.0
0.9094,0.0585,0.0
0.9183,0.0599,0.0
0.9263,0.0612,0.0
0.9432,0.0639,0.0
0.9522,0.0654,0.0
0.9601,0.0668,0.0
0.9690,0.0683,0.0
0.9849,0.0711,0.0
0.9929,0.0725,0.0
1.0087,0.0753,0.0
1.0176,0.0769,0.0
1.0255,0.0783,0.0
1.0344,0.0799,0.0
1.0503,0.0827,0.0
1.0582,0.0841,0.0
1.0670,0.0857,0.0
1.0828,0.0886,0.0
1.0916,0.0902,0.0
1.0995,0.0917,0.0
1.1083,0.0933,0.0
1.1249,0.0965,0.0
1.1328,0.0980,0.0
1.1417,0.0998,0.0
1.1496,0.1013,0.0
1.1665,0.1047,0.0
1.1744,0.1063,0.0
1.1823,0.1079,0.0
1.1981,0.1112,0.0
1.2060,0.1129,0.0
1.2149,0.1148,0.0
1.2316,0.1185,0.0
1.2395,0.1202,0.0
1.2473,0.1220,0.0
1.2620,0.1254,0.0
1.2709,0.1274,0.0
1.2787,0.1292,0.0
1.2875,0.1313,0.0
1.3041,0.1352,0.0
1.3129,0.1373,0.0
1.3217,0.1395,0.0
1.3305,0.1416,0.0
1.3393,0.1438,0.0
1.3549,0.1477,0.0
1.3637,0.1499,0.0
1.3724,0.1521,0.0
1.3812,0.1543,0.0
1.3968,0.1583,0.0
1.4054,0.1606,0.0
1.4141,0.1629,0.0
1.4294,0.1670,0.0
1.4371,0.1690,0.0
1.4456,0.1713,0.0
1.4532,0.1734,0.0
1.4627,0.1760,0.0
1.4779,0.1802,0.0
1.4855,0.1823,0.0
1.4930,0.1844,0.0
1.5015,0.1868,0.0
1.5175,0.1914,0.0
1.5260,0.1939,0.0
1.5326,0.1958,0.0
1.5486,0.2006,0.0
1.5570,0.2031,0.0
